team_list,avg_score,variance,Max_Avg_Score,Order,Gen
"['BILES SIMONE', 'LEE SUNISA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.146484375,5.927690463098729,17.03515625,3,8
"['BILES SIMONE', 'CAREY JADE', 'LEE SUNISA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.109375,4.901026392961877,17.03515625,4,8
"['BILES SIMONE', 'CAREY JADE', 'JONES SHILESE', 'LEE SUNISA', 'MCCLAIN KONNOR']",14.9287109375,5.642029226234115,17.03515625,5,8
"['BILES SIMONE', 'FRAZIER EMJAE', 'LEE SUNISA', 'LINCOLN KALIYA', 'MCCLAIN KONNOR']",14.849609375,6.051651851173021,17.03515625,6,8
"['BILES SIMONE', 'CALLUM MC GRACE', 'JONES SHILESE', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",14.4404296875,7.106907342069892,17.03515625,7,8
"['BILES SIMONE', 'CAREY JADE', 'LEE SUNISA', 'MC CALLUM', 'SKINNER MYKAYLA']",14.23828125,5.843459799608993,17.03515625,8,8
"['BILES SIMONE', 'CAREY JADE', 'LINCOLN KALIYA', 'MC CALLUM', 'SKINNER MYKAYLA']",13.2431640625,5.159777271199903,17.03515625,9,8
"['LEE SUNISA', 'LINCOLN KALIYA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",12.138671875,3.2906242363147604,17.03515625,10,8
"['BILES SIMONE', 'JONES SHILESE', 'LEE SUNISA', 'MC CALLUM', 'MCCLAIN KONNOR']",10.92578125,6.293606427174976,17.03515625,11,8
"['CAREY JADE', 'LEE SUNISA', 'LINCOLN KALIYA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",10.796875,5.718230694037145,17.03515625,12,8
"['BILES SIMONE', 'LEE SUNISA', 'LINCOLN KALIYA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.7529296875,4.983862376282991,16.7529296875,1,9
"['BILES SIMONE', 'JONES SHILESE', 'LEE SUNISA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.6240234375,6.829177931023949,16.7529296875,2,9
"['BILES SIMONE', 'CAREY JADE', 'LEE SUNISA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.052734375,5.338369837487781,16.7529296875,3,9
"['BILES SIMONE', 'LEE SUNISA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",15.9970703125,5.242415650965298,16.7529296875,4,9
"['BILES SIMONE', 'CAREY JADE', 'JONES SHILESE', 'LEE SUNISA', 'SKINNER MYKAYLA']",15.130859375,6.268294079912024,16.7529296875,5,9
"['CAREY JADE', 'LEE SUNISA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",15.08984375,5.747540933528836,16.7529296875,6,9
"['CAREY JADE', 'LINCOLN KALIYA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",14.9130859375,6.05793220766129,16.7529296875,7,9
"['BILES SIMONE', 'CAREY JADE', 'LEE SUNISA', 'MC CALLUM', 'SKINNER MYKAYLA']",14.6357421875,4.386248128971164,16.7529296875,8,9
"['BILES SIMONE', 'CAREY JADE', 'LEE SUNISA', 'MC CALLUM', 'MCCLAIN KONNOR']",14.111328125,4.196782594086022,16.7529296875,9,9
"['BILES SIMONE', 'LINCOLN KALIYA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",9.9375,4.058651026392962,16.7529296875,10,9
"['BILES SIMONE', 'LEE SUNISA', 'LINCOLN KALIYA', 'MC CALLUM', 'MCCLAIN KONNOR']",7.80859375,3.79323985826002,16.7529296875,11,9
"['CAREY JADE', 'JONES SHILESE', 'LINCOLN KALIYA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",7.28125,3.766373411534702,16.7529296875,12,9
"['BILES SIMONE', 'JONES SHILESE', 'LEE SUNISA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.673828125,7.091943884408602,16.673828125,1,10
"['BILES SIMONE', 'LEE SUNISA', 'LINCOLN KALIYA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.6513671875,5.941874961815738,16.673828125,2,10
"['BILES SIMONE', 'LEE SUNISA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.5615234375,4.96786317051564,16.673828125,3,10
"['BILES SIMONE', 'CAREY JADE', 'LEE SUNISA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.1962890625,5.235137730632943,16.673828125,4,10
"['BILES SIMONE', 'CAREY JADE', 'LEE SUNISA', 'MC CALLUM', 'SKINNER MYKAYLA']",15.419921875,5.577158938172043,16.673828125,5,10
"['LEE SUNISA', 'LINCOLN KALIYA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",15.2646484375,5.686490980877322,16.673828125,6,10
"['BILES SIMONE', 'CAREY JADE', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",15.0927734375,5.589625145100196,16.673828125,7,10
"['BILES SIMONE', 'CAREY JADE', 'JONES SHILESE', 'LEE SUNISA', 'SKINNER MYKAYLA']",14.8740234375,5.232403737475562,16.673828125,8,10
"['BILES SIMONE', 'CALLUM MC GRACE', 'CAREY JADE', 'LINCOLN KALIYA', 'SKINNER MYKAYLA']",13.02734375,3.745097140762464,16.673828125,9,10
"['BILES SIMONE', 'JONES SHILESE', 'LEE SUNISA', 'MC CALLUM', 'SKINNER MYKAYLA']",12.9677734375,3.5815606289711632,16.673828125,10,10
"['BILES SIMONE', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA', 'WONG LEANNE']",11.9580078125,5.029515479899804,16.673828125,11,10
"['BILES SIMONE', 'LEE SUNISA', 'LINCOLN KALIYA', 'MC CALLUM', 'SKINNER MYKAYLA']",11.0869140625,5.516387730632943,16.673828125,12,10
"['BILES SIMONE', 'LEE SUNISA', 'LINCOLN KALIYA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.9228515625,4.104501733565494,16.9228515625,1,11
"['BILES SIMONE', 'CAREY JADE', 'LEE SUNISA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.806640625,6.416143542277615,16.9228515625,2,11
"['BILES SIMONE', 'JONES SHILESE', 'LEE SUNISA', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",16.2353515625,4.799882965237048,16.9228515625,3,11
"['BILES SIMONE', 'LEE SUNISA', 'MC CALLUM', 'MCCLAIN KONNOR', 'SKINNER MYKAYLA']",15.79296875,5.792873289345064,16.9228515625,4,11
"['BILES SIMONE', 'LEE SUNISA', 'LINCOLN KALIYA', 'MC CALLUM', 'SKINNER MYKAYLA']",15.3349609375,5.474201758003422,16.9228515625,5,11
