LastName,FirstName,Gender,Country,Date,Competition,Round,Location,Apparatus,Rank,D_Score,E_Score,Penalty,Score
TANG,Chia-Hung,m,TPE,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,9,5.200,9.233,0,14.433
TANG,Chia-Hung,m,TPE,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,18,4.800,9.000,0,13.800
TANG,Chia-Hung,m,TPE,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,2,6.000,8.766,0,14.766
HALL,James,m,GBR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,6,5.900,8.566,0,14.466
HALL,James,m,GBR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,14,5.900,7.533,0,13.433
HALL,James,m,GBR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",SR,8,5.300,8.666,0,13.966
HALL,James,m,GBR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,13,5.200,9.100,0,14.300
HALL,James,m,GBR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,13,5.900,8.533,0,14.433
HALL,James,m,GBR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,10,6.000,8.000,0,14.000
FRASER,Joe,m,GBR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,15,5.800,8.300,0,14.100
FRASER,Joe,m,GBR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,16,6.000,7.300,0,13.300
FRASER,Joe,m,GBR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",SR,5,5.800,8.633,0,14.433
FRASER,Joe,m,GBR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,23,5.200,8.233,-0.3,13.133
FRASER,Joe,m,GBR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,5,6.600,8.533,0,15.133
FRASER,Joe,m,GBR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,5,6.500,7.900,0,14.400
MALONE,Brody,m,USA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,10,6.000,8.300,0,14.300
MALONE,Brody,m,USA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,7,5.800,8.300,0,14.100
MALONE,Brody,m,USA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",SR,10,5.600,8.233,0,13.833
MALONE,Brody,m,USA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,11,5.200,9.166,0,14.366
MALONE,Brody,m,USA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,21,5.900,7.566,0,13.466
MALONE,Brody,m,USA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,5,6.500,7.900,0,14.400
KOVTUN,Illia,m,UKR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,14,5.900,8.233,0,14.133
KOVTUN,Illia,m,UKR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,6,6.500,7.766,0,14.266
KOVTUN,Illia,m,UKR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",SR,21,5.100,8.033,0,13.133
KOVTUN,Illia,m,UKR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,19,4.800,9.033,0,13.833
KOVTUN,Illia,m,UKR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,10,6.600,8.066,0,14.666
KOVTUN,Illia,m,UKR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,11,6.200,7.566,0,13.766
MIKULAK,Samuel,m,USA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,23,5.800,7.133,0,12.933
MIKULAK,Samuel,m,USA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,13,5.500,8.066,0,13.566
MIKULAK,Samuel,m,USA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",SR,12,5.300,8.233,0,13.533
MIKULAK,Samuel,m,USA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,7,5.200,9.333,0,14.533
MIKULAK,Samuel,m,USA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,8,6.400,8.566,0,14.966
MIKULAK,Samuel,m,USA,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,12,6.100,7.533,0,13.633
GISCHARD,Benjamin,m,SUI,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,10,6.000,8.300,0,14.300
GISCHARD,Benjamin,m,SUI,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,10,5.600,8.066,0,13.666
GISCHARD,Benjamin,m,SUI,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",SR,16,5.300,8.133,0,13.433
GISCHARD,Benjamin,m,SUI,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,13,5.200,9.100,0,14.300
GISCHARD,Benjamin,m,SUI,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,19,5.200,8.500,0,13.700
GISCHARD,Benjamin,m,SUI,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,15,4.800,8.533,0,13.333
KARIMI,Milad,m,KAZ,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,1,6.400,8.633,0,15.033
KARIMI,Milad,m,KAZ,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,17,5.800,7.466,0,13.266
KARIMI,Milad,m,KAZ,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",SR,22,4.800,8.066,0,12.866
KARIMI,Milad,m,KAZ,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,17,5.600,8.566,-0.1,14.066
KARIMI,Milad,m,KAZ,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PB,16,6.200,7.766,0,13.966
KARIMI,Milad,m,KAZ,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",HB,16,6.000,7.333,0,13.333
ASIL,Adem,m,TUR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",FX,12,6.200,8.100,0,14.300
ASIL,Adem,m,TUR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",PH,18,5.500,7.666,0,13.166
ASIL,Adem,m,TUR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",SR,11,6.200,7.500,0,13.700
ASIL,Adem,m,TUR,WED 28 JUL 2021,Olympic Games,final,"Tokyo, Japan",VT,1,6.000,9.133,0,15.133
